threat-crank.py 0.2.1
I: searching for industries that match .* NGO.*|.* charit.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v11.3/enterprise-attack/enterprise-attack.json
Ke3chang;discovery
discovery;T1082
discovery;CAPEC-312
Ke3chang;credential-access
credential-access;T1558.001
Ke3chang;credential-access
credential-access;T1003.002
Gamaredon Group;defense-evasion
defense-evasion;T1218.005
Gamaredon Group;execution
execution;T1059.005
Gamaredon Group;execution
execution;T1559.001
HAFNIUM;resource-development
resource-development;T1583.003
Ke3chang;discovery
discovery;T1069.002
Gamaredon Group;collection
collection;T1025
HAFNIUM;credential-access
credential-access;T1003.003
HAFNIUM;credential-access
credential-access;T1003.001
Ke3chang;discovery
discovery;T1007
discovery;CAPEC-574
HAFNIUM;exfiltration
exfiltration;T1567.002
Ke3chang;discovery
discovery;T1018
discovery;CAPEC-292
HAFNIUM;execution
execution;T1059.001
Ke3chang;credential-access
credential-access;T1003.001
Ke3chang;defense-evasion
defense-evasion;T1078.004
Ke3chang;persistence
persistence;T1078.004
Ke3chang;privilege-escalation
privilege-escalation;T1078.004
Ke3chang;initial-access
initial-access;T1078.004
Ke3chang;discovery
discovery;T1057
discovery;CAPEC-573
HAFNIUM;reconnaissance
reconnaissance;T1589.002
Ke3chang;persistence
persistence;T1543.003
persistence;CAPEC-478
persistence;CAPEC-550
persistence;CAPEC-551
Ke3chang;privilege-escalation
privilege-escalation;T1543.003
privilege-escalation;CAPEC-478
privilege-escalation;CAPEC-550
privilege-escalation;CAPEC-551
HAFNIUM;collection
collection;T1114.002
Gamaredon Group;exfiltration
exfiltration;T1020
HAFNIUM;command-and-control
command-and-control;T1095
Gamaredon Group;discovery
discovery;T1082
discovery;CAPEC-312
Ke3chang;discovery
discovery;T1033
discovery;CAPEC-577
Ke3chang;discovery
discovery;T1087.001
Gamaredon Group;defense-evasion
defense-evasion;T1070.004
Gamaredon Group;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Ke3chang;resource-development
resource-development;T1587.001
Ke3chang;command-and-control
command-and-control;T1071.004
Ke3chang;collection
collection;T1056.001
collection;CAPEC-568
Ke3chang;credential-access
credential-access;T1056.001
credential-access;CAPEC-568
Ke3chang;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Gamaredon Group;defense-evasion
defense-evasion;T1027.001
defense-evasion;CAPEC-572
defense-evasion;CAPEC-655
HAFNIUM;persistence
persistence;T1136.002
Ke3chang;defense-evasion
defense-evasion;T1036.002
HAFNIUM;reconnaissance
reconnaissance;T1592.004
Ke3chang;discovery
discovery;T1087.002
discovery;CAPEC-575
Gamaredon Group;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
Gamaredon Group;defense-evasion
defense-evasion;T1140
Gamaredon Group;lateral-movement
lateral-movement;T1021.005
lateral-movement;CAPEC-555
HAFNIUM;collection
collection;T1560.001
Ke3chang;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
HAFNIUM;resource-development
resource-development;T1583.006
Ke3chang;collection
collection;T1560.001
Gamaredon Group;lateral-movement
lateral-movement;T1534
HAFNIUM;command-and-control
command-and-control;T1071.001
Ke3chang;execution
execution;T1059
Gamaredon Group;execution
execution;T1106
HAFNIUM;defense-evasion
defense-evasion;T1218.011
Gamaredon Group;exfiltration
exfiltration;T1041
Gamaredon Group;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
Gamaredon Group;discovery
discovery;T1016.001
Ke3chang;exfiltration
exfiltration;T1041
Gamaredon Group;collection
collection;T1005
HAFNIUM;defense-evasion
defense-evasion;T1078.003
HAFNIUM;persistence
persistence;T1078.003
HAFNIUM;privilege-escalation
privilege-escalation;T1078.003
HAFNIUM;initial-access
initial-access;T1078.003
Gamaredon Group;persistence
persistence;T1137
Ke3chang;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
Ke3chang;command-and-control
command-and-control;T1105
HAFNIUM;command-and-control
command-and-control;T1105
Gamaredon Group;impact
impact;T1491.001
Gamaredon Group;collection
collection;T1113
collection;CAPEC-648
Ke3chang;persistence
persistence;T1133
persistence;CAPEC-555
Ke3chang;initial-access
initial-access;T1133
initial-access;CAPEC-555
Gamaredon Group;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Gamaredon Group;execution
execution;T1059.003
Ke3chang;persistence
persistence;T1547.001
persistence;CAPEC-270
Ke3chang;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
HAFNIUM;reconnaissance
reconnaissance;T1590.005
Ke3chang;collection
collection;T1119
Gamaredon Group;persistence
persistence;T1547.001
persistence;CAPEC-270
Gamaredon Group;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
HAFNIUM;reconnaissance
reconnaissance;T1590
HAFNIUM;initial-access
initial-access;T1190
Gamaredon Group;execution
execution;T1204.002
Gamaredon Group;collection
collection;T1119
Ke3chang;discovery
discovery;T1049
Ke3chang;collection
collection;T1213.002
Ke3chang;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
Ke3chang;discovery
discovery;T1614.001
Gamaredon Group;defense-evasion
defense-evasion;T1562.001
defense-evasion;CAPEC-578
Ke3chang;credential-access
credential-access;T1003.003
Gamaredon Group;defense-evasion
defense-evasion;T1027.004
Ke3chang;collection
collection;T1114.002
Ke3chang;execution
execution;T1059.003
Gamaredon Group;lateral-movement
lateral-movement;T1080
lateral-movement;CAPEC-562
Gamaredon Group;execution
execution;T1053.005
Gamaredon Group;persistence
persistence;T1053.005
Gamaredon Group;privilege-escalation
privilege-escalation;T1053.005
Ke3chang;discovery
discovery;T1016
discovery;CAPEC-309
Gamaredon Group;collection
collection;T1039
collection;CAPEC-639
HAFNIUM;persistence
persistence;T1505.003
persistence;CAPEC-650
Gamaredon Group;execution
execution;T1059.001
Gamaredon Group;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
Gamaredon Group;discovery
discovery;T1120
discovery;CAPEC-646
Ke3chang;collection
collection;T1005
Ke3chang;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
Ke3chang;persistence
persistence;T1078
persistence;CAPEC-560
Ke3chang;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
Ke3chang;initial-access
initial-access;T1078
initial-access;CAPEC-560
Gamaredon Group;command-and-control
command-and-control;T1105
Ke3chang;credential-access
credential-access;T1003.004
Gamaredon Group;discovery
discovery;T1033
discovery;CAPEC-577
Ke3chang;execution
execution;T1569.002
Ke3chang;defense-evasion
defense-evasion;T1140
HAFNIUM;command-and-control
command-and-control;T1132.001
Gamaredon Group;defense-evasion
defense-evasion;T1218.011
Gamaredon Group;command-and-control
command-and-control;T1102
Ke3chang;collection
collection;T1560
Gamaredon Group;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
Gamaredon Group;command-and-control
command-and-control;T1071.001
Ke3chang;exfiltration
exfiltration;T1020
Gamaredon Group;defense-evasion
defense-evasion;T1564.003
Ke3chang;resource-development
resource-development;T1588.002
Gamaredon Group;resource-development
resource-development;T1608.001
Gamaredon Group;command-and-control
command-and-control;T1568
Gamaredon Group;execution
execution;T1047
Gamaredon Group;defense-evasion
defense-evasion;T1221
Ke3chang;initial-access
initial-access;T1190
Gamaredon Group;impact
impact;T1485
Gamaredon Group;discovery
discovery;T1057
discovery;CAPEC-573
Ke3chang;command-and-control
command-and-control;T1071.001
