threat-crank.py 0.2.1
I: searching for industries that match .* teach.*|.* academi.*|.* school.*|.* universit.*|.* college.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v15.1/enterprise-attack/enterprise-attack.json
Magic Hound;collection
collection;T1056.001
Magic Hound;credential-access
credential-access;T1056.001
APT39;discovery
discovery;T1046
Leviathan;exfiltration
exfiltration;T1567.002
Magic Hound;exfiltration
exfiltration;T1567
APT39;persistence
persistence;T1547.001
APT39;privilege-escalation
privilege-escalation;T1547.001
APT39;command-and-control
command-and-control;T1090.002
Magic Hound;reconnaissance
reconnaissance;T1589.001
APT39;defense-evasion
defense-evasion;T1140
Magic Hound;persistence
persistence;T1547.001
Magic Hound;privilege-escalation
privilege-escalation;T1547.001
Metador;command-and-control
command-and-control;T1071.001
APT39;collection
collection;T1056.001
APT39;credential-access
credential-access;T1056.001
APT39;collection
collection;T1005
APT39;execution
execution;T1059.001
APT39;collection
collection;T1115
APT39;credential-access
credential-access;T1003
Magic Hound;execution
execution;T1059.001
Magic Hound;discovery
discovery;T1016.002
Magic Hound;resource-development
resource-development;T1588.002
Magic Hound;resource-development
resource-development;T1584.001
APT39;defense-evasion
defense-evasion;T1553.006
Magic Hound;execution
execution;T1059.003
APT39;privilege-escalation
privilege-escalation;T1546.010
APT39;persistence
persistence;T1546.010
Magic Hound;command-and-control
command-and-control;T1572
Magic Hound;resource-development
resource-development;T1585.002
Silent Librarian;resource-development
resource-development;T1588.004
Leviathan;command-and-control
command-and-control;T1102.003
Magic Hound;reconnaissance
reconnaissance;T1591.001
Leviathan;execution
execution;T1047
APT39;persistence
persistence;T1547.009
APT39;privilege-escalation
privilege-escalation;T1547.009
Leviathan;lateral-movement
lateral-movement;T1021.004
Leviathan;command-and-control
command-and-control;T1105
Leviathan;persistence
persistence;T1547.001
Leviathan;privilege-escalation
privilege-escalation;T1547.001
Magic Hound;command-and-control
command-and-control;T1071
Leviathan;defense-evasion
defense-evasion;T1027.013
Magic Hound;command-and-control
command-and-control;T1071.001
Leviathan;reconnaissance
reconnaissance;T1589.001
APT39;discovery
discovery;T1135
Magic Hound;impact
impact;T1486
Leviathan;credential-access
credential-access;T1003.001
Magic Hound;discovery
discovery;T1016.001
Magic Hound;resource-development
resource-development;T1586.002
Silent Librarian;reconnaissance
reconnaissance;T1594
Magic Hound;execution
execution;T1053.005
Magic Hound;persistence
persistence;T1053.005
Magic Hound;privilege-escalation
privilege-escalation;T1053.005
Leviathan;resource-development
resource-development;T1586.001
Magic Hound;reconnaissance
reconnaissance;T1592.002
APT39;execution
execution;T1569.002
APT39;defense-evasion
defense-evasion;T1027.013
Leviathan;command-and-control
command-and-control;T1090.003
APT39;resource-development
resource-development;T1588.002
Silent Librarian;collection
collection;T1114
Leviathan;defense-evasion
defense-evasion;T1027.001
APT39;lateral-movement
lateral-movement;T1021.001
APT39;discovery
discovery;T1033
Magic Hound;lateral-movement
lateral-movement;T1021.001
Silent Librarian;reconnaissance
reconnaissance;T1598.003
Magic Hound;discovery
discovery;T1087.003
Magic Hound;command-and-control
command-and-control;T1105
APT39;defense-evasion
defense-evasion;T1027.002
APT39;exfiltration
exfiltration;T1041
APT39;execution
execution;T1204.002
Leviathan;resource-development
resource-development;T1583.001
Silent Librarian;reconnaissance
reconnaissance;T1589.003
Magic Hound;initial-access
initial-access;T1190
APT39;execution
execution;T1053.005
APT39;persistence
persistence;T1053.005
APT39;privilege-escalation
privilege-escalation;T1053.005
Magic Hound;execution
execution;T1204.002
Magic Hound;defense-evasion
defense-evasion;T1218.011
Magic Hound;defense-evasion
defense-evasion;T1027.010
APT39;defense-evasion
defense-evasion;T1070.004
APT39;command-and-control
command-and-control;T1102.002
Leviathan;resource-development
resource-development;T1585.002
APT39;collection
collection;T1560.001
Magic Hound;discovery
discovery;T1046
APT39;persistence
persistence;T1505.003
Metador;execution
execution;T1059.003
APT39;command-and-control
command-and-control;T1105
Leviathan;initial-access
initial-access;T1566.002
Magic Hound;reconnaissance
reconnaissance;T1590.005
Magic Hound;collection
collection;T1113
Magic Hound;command-and-control
command-and-control;T1573
Magic Hound;execution
execution;T1059.005
Leviathan;initial-access
initial-access;T1189
Metador;resource-development
resource-development;T1588.001
Silent Librarian;collection
collection;T1114.003
Leviathan;privilege-escalation
privilege-escalation;T1546.003
Leviathan;persistence
persistence;T1546.003
APT39;execution
execution;T1059.010
Leviathan;defense-evasion
defense-evasion;T1027.003
Magic Hound;reconnaissance
reconnaissance;T1595.002
Leviathan;resource-development
resource-development;T1585.001
Leviathan;execution
execution;T1059.001
Leviathan;persistence
persistence;T1547.009
Leviathan;privilege-escalation
privilege-escalation;T1547.009
Magic Hound;reconnaissance
reconnaissance;T1589.002
Magic Hound;execution
execution;T1204.001
APT39;execution
execution;T1204.001
Leviathan;defense-evasion
defense-evasion;T1055.001
Leviathan;privilege-escalation
privilege-escalation;T1055.001
Magic Hound;command-and-control
command-and-control;T1102.002
Leviathan;initial-access
initial-access;T1566.001
Magic Hound;discovery
discovery;T1033
Magic Hound;persistence
persistence;T1098.002
Magic Hound;privilege-escalation
privilege-escalation;T1098.002
Magic Hound;defense-evasion
defense-evasion;T1070.004
Magic Hound;defense-evasion
defense-evasion;T1027.013
Magic Hound;initial-access
initial-access;T1566.002
Magic Hound;defense-evasion
defense-evasion;T1078.001
Magic Hound;persistence
persistence;T1078.001
Magic Hound;privilege-escalation
privilege-escalation;T1078.001
Magic Hound;initial-access
initial-access;T1078.001
Leviathan;execution
execution;T1203
Silent Librarian;resource-development
resource-development;T1585.002
Silent Librarian;reconnaissance
reconnaissance;T1589.002
Magic Hound;discovery
discovery;T1083
Leviathan;execution
execution;T1059.005
Magic Hound;discovery
discovery;T1016
Magic Hound;defense-evasion
defense-evasion;T1036.005
APT39;credential-access
credential-access;T1555
Magic Hound;persistence
persistence;T1098
Magic Hound;privilege-escalation
privilege-escalation;T1098
Magic Hound;reconnaissance
reconnaissance;T1598.003
Magic Hound;defense-evasion
defense-evasion;T1562.002
Leviathan;defense-evasion
defense-evasion;T1078
Leviathan;persistence
persistence;T1078
Leviathan;privilege-escalation
privilege-escalation;T1078
Leviathan;initial-access
initial-access;T1078
Silent Librarian;resource-development
resource-development;T1608.005
APT39;collection
collection;T1113
Silent Librarian;credential-access
credential-access;T1110.003
Metador;privilege-escalation
privilege-escalation;T1546.003
Metador;persistence
persistence;T1546.003
APT39;credential-access
credential-access;T1003.001
Leviathan;defense-evasion
defense-evasion;T1553.002
Magic Hound;defense-evasion
defense-evasion;T1562.001
Magic Hound;discovery
discovery;T1049
APT39;discovery
discovery;T1018
Magic Hound;collection
collection;T1114
Magic Hound;credential-access
credential-access;T1003.001
APT39;command-and-control
command-and-control;T1071.004
Magic Hound;lateral-movement
lateral-movement;T1570
APT39;execution
execution;T1059
Magic Hound;persistence
persistence;T1136.001
Magic Hound;discovery
discovery;T1057
APT39;collection
collection;T1074.001
Magic Hound;defense-evasion
defense-evasion;T1562.004
Magic Hound;collection
collection;T1114.002
Leviathan;execution
execution;T1559.002
Magic Hound;command-and-control
command-and-control;T1571
Leviathan;defense-evasion
defense-evasion;T1197
Leviathan;persistence
persistence;T1197
Magic Hound;defense-evasion
defense-evasion;T1070.003
Magic Hound;discovery
discovery;T1082
Magic Hound;collection
collection;T1114.001
Metador;defense-evasion
defense-evasion;T1027.013
Leviathan;collection
collection;T1074.001
Silent Librarian;resource-development
resource-development;T1583.001
Magic Hound;persistence
persistence;T1505.003
Leviathan;execution
execution;T1204.002
APT39;discovery
discovery;T1083
Leviathan;defense-evasion
defense-evasion;T1140
Metador;defense-evasion
defense-evasion;T1070.004
Leviathan;collection
collection;T1074.002
Leviathan;lateral-movement
lateral-movement;T1534
Magic Hound;command-and-control
command-and-control;T1090
Magic Hound;defense-evasion
defense-evasion;T1036.004
Leviathan;defense-evasion
defense-evasion;T1218.010
APT39;discovery
discovery;T1012
APT39;credential-access
credential-access;T1110
Magic Hound;resource-development
resource-development;T1583.001
Metador;command-and-control
command-and-control;T1095
APT39;defense-evasion
defense-evasion;T1197
APT39;persistence
persistence;T1197
APT39;persistence
persistence;T1136.001
APT39;execution
execution;T1059.006
Magic Hound;discovery
discovery;T1018
Magic Hound;defense-evasion
defense-evasion;T1112
Leviathan;exfiltration
exfiltration;T1041
Magic Hound;discovery
discovery;T1482
Magic Hound;reconnaissance
reconnaissance;T1589
Leviathan;persistence
persistence;T1505.003
Metador;resource-development
resource-development;T1588.002
Magic Hound;defense-evasion
defense-evasion;T1078.002
Magic Hound;persistence
persistence;T1078.002
Magic Hound;privilege-escalation
privilege-escalation;T1078.002
Magic Hound;initial-access
initial-access;T1078.002
Magic Hound;initial-access
initial-access;T1566.003
Leviathan;lateral-movement
lateral-movement;T1021.001
APT39;defense-evasion
defense-evasion;T1036.005
Magic Hound;collection
collection;T1560.001
Silent Librarian;resource-development
resource-development;T1588.002
APT39;command-and-control
command-and-control;T1071.001
APT39;command-and-control
command-and-control;T1090.001
Leviathan;collection
collection;T1560
Metador;command-and-control
command-and-control;T1105
Magic Hound;resource-development
resource-development;T1585.001
Magic Hound;defense-evasion
defense-evasion;T1564.003
Magic Hound;defense-evasion
defense-evasion;T1562
Silent Librarian;defense-evasion
defense-evasion;T1078
Silent Librarian;persistence
persistence;T1078
Silent Librarian;privilege-escalation
privilege-escalation;T1078
Silent Librarian;initial-access
initial-access;T1078
Magic Hound;collection
collection;T1005
APT39;defense-evasion
defense-evasion;T1078
APT39;persistence
persistence;T1078
APT39;privilege-escalation
privilege-escalation;T1078
APT39;initial-access
initial-access;T1078
Magic Hound;execution
execution;T1047
APT39;collection
collection;T1056
APT39;credential-access
credential-access;T1056
Magic Hound;resource-development
resource-development;T1583.006
APT39;initial-access
initial-access;T1566.002
APT39;initial-access
initial-access;T1566.001
Leviathan;command-and-control
command-and-control;T1572
Leviathan;execution
execution;T1204.001
Leviathan;persistence
persistence;T1133
Leviathan;initial-access
initial-access;T1133
APT39;lateral-movement
lateral-movement;T1021.002
APT39;initial-access
initial-access;T1190
Leviathan;credential-access
credential-access;T1003
APT39;execution
execution;T1059.005
Leviathan;resource-development
resource-development;T1586.002
APT39;lateral-movement
lateral-movement;T1021.004
Magic Hound;initial-access
initial-access;T1189
