threat-crank.py 0.2.1
I: searching for industries that match .* chemic.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.1/enterprise-attack/enterprise-attack.json
OilRig;discovery
discovery;T1201
OilRig;initial-access
initial-access;T1566.002
OilRig;discovery
discovery;T1069.002
OilRig;persistence
persistence;T1133
OilRig;initial-access
initial-access;T1133
OilRig;credential-access
credential-access;T1003.001
OilRig;collection
collection;T1056.001
OilRig;credential-access
credential-access;T1056.001
OilRig;execution
execution;T1059.003
OilRig;lateral-movement
lateral-movement;T1021.004
OilRig;collection
collection;T1113
OilRig;initial-access
initial-access;T1566.003
OilRig;execution
execution;T1059
OilRig;discovery
discovery;T1046
OilRig;credential-access
credential-access;T1110
OilRig;defense-evasion
defense-evasion;T1497.001
OilRig;discovery
discovery;T1497.001
OilRig;credential-access
credential-access;T1003.005
OilRig;discovery
discovery;T1016
OilRig;command-and-control
command-and-control;T1071.004
OilRig;execution
execution;T1053.005
OilRig;persistence
persistence;T1053.005
OilRig;privilege-escalation
privilege-escalation;T1053.005
OilRig;discovery
discovery;T1069.001
OilRig;defense-evasion
defense-evasion;T1027.005
OilRig;credential-access
credential-access;T1555
OilRig;defense-evasion
defense-evasion;T1036
OilRig;execution
execution;T1059.005
OilRig;discovery
discovery;T1033
OilRig;exfiltration
exfiltration;T1048.003
OilRig;credential-access
credential-access;T1003.004
OilRig;initial-access
initial-access;T1566.001
OilRig;credential-access
credential-access;T1552.001
OilRig;command-and-control
command-and-control;T1105
OilRig;discovery
discovery;T1049
OilRig;defense-evasion
defense-evasion;T1218.001
OilRig;execution
execution;T1059.001
OilRig;discovery
discovery;T1120
OilRig;defense-evasion
defense-evasion;T1078
OilRig;persistence
persistence;T1078
OilRig;privilege-escalation
privilege-escalation;T1078
OilRig;initial-access
initial-access;T1078
OilRig;execution
execution;T1204.001
OilRig;discovery
discovery;T1007
OilRig;persistence
persistence;T1137.004
OilRig;command-and-control
command-and-control;T1573.002
OilRig;discovery
discovery;T1082
OilRig;command-and-control
command-and-control;T1008
OilRig;credential-access
credential-access;T1555.004
OilRig;defense-evasion
defense-evasion;T1027
OilRig;discovery
discovery;T1087.002
OilRig;command-and-control
command-and-control;T1572
OilRig;persistence
persistence;T1505.003
OilRig;credential-access
credential-access;T1555.003
OilRig;discovery
discovery;T1087.001
OilRig;defense-evasion
defense-evasion;T1140
OilRig;discovery
discovery;T1012
OilRig;execution
execution;T1047
OilRig;execution
execution;T1204.002
OilRig;command-and-control
command-and-control;T1071.001
OilRig;lateral-movement
lateral-movement;T1021.001
OilRig;discovery
discovery;T1057
OilRig;collection
collection;T1119
OilRig;defense-evasion
defense-evasion;T1070.004
