threat-crank.py 0.2.1
I: searching for regions that match .* brazil.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v16.1/enterprise-attack/enterprise-attack.json
Malteiro;execution
execution;T1204.002
Malteiro;credential-access
credential-access;T1555.003
Malteiro;defense-evasion
defense-evasion;T1055.001
Malteiro;privilege-escalation
privilege-escalation;T1055.001
Malteiro;impact
impact;T1657
Malteiro;discovery
discovery;T1082
Malteiro;execution
execution;T1059.005
Malteiro;defense-evasion
defense-evasion;T1027.013
Malteiro;discovery
discovery;T1518.001
Malteiro;initial-access
initial-access;T1566.001
Malteiro;credential-access
credential-access;T1555
Malteiro;defense-evasion
defense-evasion;T1140
Malteiro;discovery
discovery;T1614.001
