threat-crank.py 0.2.1
I: searching for industries that match .* military.*|.* defen[cs]e.*|.* armed.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v1.0/enterprise-attack/enterprise-attack.json
APT1;credential-access
credential-access;T1003
APT1;defense-evasion
defense-evasion;T1036
APT1;lateral-movement
lateral-movement;T1075
APT1;lateral-movement
lateral-movement;T1076
APT1;collection
collection;T1114
APT1;defense-evasion
defense-evasion;T1064
APT1;execution
execution;T1064
APT1;execution
execution;T1059
APT1;collection
collection;T1005
APT1;exfiltration
exfiltration;T1002
Deep Panda;execution
execution;T1086
Deep Panda;execution
execution;T1047
Deep Panda;persistence
persistence;T1100
Deep Panda;privilege-escalation
privilege-escalation;T1100
Deep Panda;lateral-movement
lateral-movement;T1077
Deep Panda;discovery
discovery;T1057
Deep Panda;defense-evasion
defense-evasion;T1064
Deep Panda;execution
execution;T1064
Deep Panda;defense-evasion
defense-evasion;T1066
Deep Panda;defense-evasion
defense-evasion;T1117
Deep Panda;execution
execution;T1117
Deep Panda;persistence
persistence;T1015
Deep Panda;privilege-escalation
privilege-escalation;T1015
Dragonfly;collection
collection;T1113
Dragonfly;execution
execution;T1086
Dragonfly;command-and-control
command-and-control;T1105
Dragonfly;lateral-movement
lateral-movement;T1105
Dragonfly;defense-evasion
defense-evasion;T1107
Dragonfly;persistence
persistence;T1136
Dragonfly;defense-evasion
defense-evasion;T1089
Dragonfly;persistence
persistence;T1133
Dragonfly;credential-access
credential-access;T1110
Dragonfly;credential-access
credential-access;T1003
Dragonfly;defense-evasion
defense-evasion;T1064
Dragonfly;execution
execution;T1064
Dragonfly;defense-evasion
defense-evasion;T1036
Dragonfly;defense-evasion
defense-evasion;T1070
Dragonfly;persistence
persistence;T1100
Dragonfly;privilege-escalation
privilege-escalation;T1100
Dragonfly;command-and-control
command-and-control;T1043
Dragonfly;collection
collection;T1114
Dragonfly;lateral-movement
lateral-movement;T1076
Dragonfly;discovery
discovery;T1135
Dragonfly;execution
execution;T1053
Dragonfly;persistence
persistence;T1053
Dragonfly;privilege-escalation
privilege-escalation;T1053
Dragonfly;credential-access
credential-access;T1187
Naikon;discovery
discovery;T1063
Naikon;discovery
discovery;T1016
Threat Group-3390;collection
collection;T1056
Threat Group-3390;credential-access
credential-access;T1056
Threat Group-3390;credential-access
credential-access;T1003
Threat Group-3390;defense-evasion
defense-evasion;T1073
Threat Group-3390;command-and-control
command-and-control;T1043
Threat Group-3390;discovery
discovery;T1046
Threat Group-3390;execution
execution;T1053
Threat Group-3390;persistence
persistence;T1053
Threat Group-3390;privilege-escalation
privilege-escalation;T1053
Threat Group-3390;exfiltration
exfiltration;T1002
Threat Group-3390;exfiltration
exfiltration;T1022
Threat Group-3390;exfiltration
exfiltration;T1030
Threat Group-3390;collection
collection;T1074
Threat Group-3390;collection
collection;T1005
Threat Group-3390;command-and-control
command-and-control;T1105
Threat Group-3390;lateral-movement
lateral-movement;T1105
Threat Group-3390;defense-evasion
defense-evasion;T1078
Threat Group-3390;persistence
persistence;T1078
Threat Group-3390;privilege-escalation
privilege-escalation;T1078
Threat Group-3390;persistence
persistence;T1133
Threat Group-3390;discovery
discovery;T1016
Threat Group-3390;discovery
discovery;T1049
Threat Group-3390;discovery
discovery;T1087
Threat Group-3390;execution
execution;T1028
Threat Group-3390;lateral-movement
lateral-movement;T1028
Threat Group-3390;execution
execution;T1086
Threat Group-3390;execution
execution;T1059
Threat Group-3390;defense-evasion
defense-evasion;T1089
Threat Group-3390;defense-evasion
defense-evasion;T1107
Threat Group-3390;credential-access
credential-access;T1068
Threat Group-3390;defense-evasion
defense-evasion;T1068
Threat Group-3390;lateral-movement
lateral-movement;T1068
Threat Group-3390;privilege-escalation
privilege-escalation;T1068
Threat Group-3390;collection
collection;T1119
Threat Group-3390;defense-evasion
defense-evasion;T1126
Threat Group-3390;defense-evasion
defense-evasion;T1108
Threat Group-3390;persistence
persistence;T1108
Turla;discovery
discovery;T1057
Turla;discovery
discovery;T1007
Turla;discovery
discovery;T1016
Turla;discovery
discovery;T1049
Turla;discovery
discovery;T1018
Turla;discovery
discovery;T1082
Turla;discovery
discovery;T1012
Turla;discovery
discovery;T1083
Turla;credential-access
credential-access;T1110
Turla;lateral-movement
lateral-movement;T1077
Turla;discovery
discovery;T1124
Turla;defense-evasion
defense-evasion;T1066
menuPass;execution
execution;T1086
menuPass;credential-access
credential-access;T1003
menuPass;execution
execution;T1047
menuPass;execution
execution;T1059
menuPass;discovery
discovery;T1018
menuPass;defense-evasion
defense-evasion;T1073
menuPass;discovery
discovery;T1087
menuPass;discovery
discovery;T1016
menuPass;discovery
discovery;T1046
menuPass;exfiltration
exfiltration;T1002
menuPass;execution
execution;T1053
menuPass;persistence
persistence;T1053
menuPass;privilege-escalation
privilege-escalation;T1053
menuPass;defense-evasion
defense-evasion;T1038
menuPass;persistence
persistence;T1038
menuPass;privilege-escalation
privilege-escalation;T1038
menuPass;defense-evasion
defense-evasion;T1078
menuPass;persistence
persistence;T1078
menuPass;privilege-escalation
privilege-escalation;T1078
menuPass;command-and-control
command-and-control;T1105
menuPass;lateral-movement
lateral-movement;T1105
menuPass;lateral-movement
lateral-movement;T1076
menuPass;discovery
discovery;T1049
menuPass;collection
collection;T1074
menuPass;collection
collection;T1039
menuPass;lateral-movement
lateral-movement;T1021
menuPass;command-and-control
command-and-control;T1090
