threat-crank.py 0.2.1
I: searching for regions that match .* america.*|.* united states.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v3.0/enterprise-attack/enterprise-attack.json
APT33;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
APT33;persistence
persistence;T1078
persistence;CAPEC-560
APT33;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
APT33;initial-access
initial-access;T1078
initial-access;CAPEC-560
Dust Storm;defense-evasion
defense-evasion;T1027
FIN10;defense-evasion
defense-evasion;T1064
FIN10;execution
execution;T1064
FIN10;defense-evasion
defense-evasion;T1107
APT33;initial-access
initial-access;T1192
initial-access;CAPEC-163
Gorgon Group;initial-access
initial-access;T1193
initial-access;CAPEC-163
Gorgon Group;command-and-control
command-and-control;T1105
Gorgon Group;lateral-movement
lateral-movement;T1105
Gorgon Group;execution
execution;T1086
Lazarus Group;defense-evasion
defense-evasion;T1107
Lazarus Group;defense-evasion
defense-evasion;T1099
Lazarus Group;discovery
discovery;T1057
discovery;CAPEC-573
Lazarus Group;exfiltration
exfiltration;T1022
Lazarus Group;persistence
persistence;T1060
persistence;CAPEC-270
Lazarus Group;discovery
discovery;T1033
discovery;CAPEC-577
Lazarus Group;command-and-control
command-and-control;T1065
Lazarus Group;defense-evasion
defense-evasion;T1158
Lazarus Group;persistence
persistence;T1158
Lazarus Group;defense-evasion
defense-evasion;T1064
Lazarus Group;execution
execution;T1064
Lazarus Group;execution
execution;T1203
Dust Storm;collection
collection;T1005
FIN10;lateral-movement
lateral-movement;T1076
lateral-movement;CAPEC-555
Leviathan;execution
execution;T1086
Leviathan;defense-evasion
defense-evasion;T1009
defense-evasion;CAPEC-572
Leviathan;execution
execution;T1204
Leviathan;persistence
persistence;T1084
Molerats;discovery
discovery;T1057
discovery;CAPEC-573
Gorgon Group;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-242
Gorgon Group;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-242
Gorgon Group;defense-evasion
defense-evasion;T1140
Gorgon Group;command-and-control
command-and-control;T1065
Lazarus Group;discovery
discovery;T1083
Lazarus Group;credential-access
credential-access;T1098
Lazarus Group;persistence
persistence;T1098
Lazarus Group;discovery
discovery;T1010
Lazarus Group;collection
collection;T1074
Lazarus Group;command-and-control
command-and-control;T1026
Lazarus Group;credential-access
credential-access;T1110
Sowbug;collection
collection;T1039
Sowbug;discovery
discovery;T1082
discovery;CAPEC-311
Lazarus Group;persistence
persistence;T1067
Lazarus Group;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-242
Lazarus Group;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-242
Lazarus Group;discovery
discovery;T1124
Lazarus Group;defense-evasion
defense-evasion;T1223
Lazarus Group;execution
execution;T1223
Leviathan;initial-access
initial-access;T1193
initial-access;CAPEC-163
Leviathan;execution
execution;T1047
Leviathan;persistence
persistence;T1023
Leviathan;execution
execution;T1059
Leviathan;command-and-control
command-and-control;T1102
Leviathan;defense-evasion
defense-evasion;T1102
Molerats;credential-access
credential-access;T1003
credential-access;CAPEC-567
Sowbug;exfiltration
exfiltration;T1002
Sowbug;credential-access
credential-access;T1003
credential-access;CAPEC-567
FIN10;execution
execution;T1053
execution;CAPEC-557
FIN10;persistence
persistence;T1053
persistence;CAPEC-557
FIN10;privilege-escalation
privilege-escalation;T1053
privilege-escalation;CAPEC-557
FIN10;discovery
discovery;T1033
discovery;CAPEC-577
APT33;execution
execution;T1204
Gorgon Group;execution
execution;T1059
Gorgon Group;execution
execution;T1106
Gorgon Group;persistence
persistence;T1023
Dust Storm;discovery
discovery;T1083
FIN10;execution
execution;T1086
FIN10;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
FIN10;persistence
persistence;T1078
persistence;CAPEC-560
FIN10;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
