threat-crank.py 0.2.1
I: searching for industries that match .* food.*|.* meal.*|.* restaurant.*|.* hospitality.*|.* catering.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v15.1/enterprise-attack/enterprise-attack.json
FIN7;execution
execution;T1204.001
APT39;discovery
discovery;T1046
APT39;persistence
persistence;T1547.001
APT39;privilege-escalation
privilege-escalation;T1547.001
FIN8;defense-evasion
defense-evasion;T1078
FIN8;persistence
persistence;T1078
FIN8;privilege-escalation
privilege-escalation;T1078
FIN8;initial-access
initial-access;T1078
Scattered Spider;reconnaissance
reconnaissance;T1598
APT39;command-and-control
command-and-control;T1090.002
FIN7;defense-evasion
defense-evasion;T1553.002
APT39;defense-evasion
defense-evasion;T1140
FIN7;defense-evasion
defense-evasion;T1078
FIN7;persistence
persistence;T1078
FIN7;privilege-escalation
privilege-escalation;T1078
FIN7;initial-access
initial-access;T1078
FIN13;resource-development
resource-development;T1587.001
Scattered Spider;defense-evasion
defense-evasion;T1553.002
Scattered Spider;credential-access
credential-access;T1556.009
Scattered Spider;defense-evasion
defense-evasion;T1556.009
Scattered Spider;persistence
persistence;T1556.009
FIN13;defense-evasion
defense-evasion;T1078.001
FIN13;persistence
persistence;T1078.001
FIN13;privilege-escalation
privilege-escalation;T1078.001
FIN13;initial-access
initial-access;T1078.001
FIN6;collection
collection;T1560.003
FIN13;command-and-control
command-and-control;T1572
APT39;collection
collection;T1056.001
APT39;credential-access
credential-access;T1056.001
FIN6;initial-access
initial-access;T1566.001
APT39;collection
collection;T1005
APT39;execution
execution;T1059.001
APT39;collection
collection;T1115
APT39;credential-access
credential-access;T1003
FIN13;lateral-movement
lateral-movement;T1021.006
Scattered Spider;discovery
discovery;T1580
FIN8;defense-evasion
defense-evasion;T1070.001
FIN13;persistence
persistence;T1133
FIN13;initial-access
initial-access;T1133
FIN5;command-and-control
command-and-control;T1090.002
FIN7;execution
execution;T1059
FIN7;lateral-movement
lateral-movement;T1021.004
FIN13;discovery
discovery;T1087.002
FIN6;discovery
discovery;T1087.002
APT39;defense-evasion
defense-evasion;T1553.006
FIN8;exfiltration
exfiltration;T1048.003
FIN8;discovery
discovery;T1033
APT39;privilege-escalation
privilege-escalation;T1546.010
APT39;persistence
persistence;T1546.010
FIN7;initial-access
initial-access;T1190
FIN7;defense-evasion
defense-evasion;T1027.001
FIN5;defense-evasion
defense-evasion;T1070.004
Scattered Spider;credential-access
credential-access;T1003.003
FIN8;discovery
discovery;T1518.001
FIN7;discovery
discovery;T1033
FIN6;execution
execution;T1059
FIN7;execution
execution;T1053.005
FIN7;persistence
persistence;T1053.005
FIN7;privilege-escalation
privilege-escalation;T1053.005
FIN6;command-and-control
command-and-control;T1572
Scattered Spider;discovery
discovery;T1087.002
FIN6;collection
collection;T1213
Scattered Spider;defense-evasion
defense-evasion;T1484.002
Scattered Spider;privilege-escalation
privilege-escalation;T1484.002
APT39;persistence
persistence;T1547.009
APT39;privilege-escalation
privilege-escalation;T1547.009
Scattered Spider;defense-evasion
defense-evasion;T1564.008
FIN13;discovery
discovery;T1046
FIN5;collection
collection;T1074.001
FIN6;defense-evasion
defense-evasion;T1027.010
FIN13;persistence
persistence;T1505.003
FIN7;lateral-movement
lateral-movement;T1021.005
FIN7;defense-evasion
defense-evasion;T1036.005
APT39;discovery
discovery;T1135
FIN13;discovery
discovery;T1082
FIN6;execution
execution;T1059.007
FIN8;lateral-movement
lateral-movement;T1021.001
FIN8;credential-access
credential-access;T1003.001
FIN7;initial-access
initial-access;T1566.002
FIN13;discovery
discovery;T1016
Scattered Spider;credential-access
credential-access;T1539
APT39;execution
execution;T1569.002
FIN7;defense-evasion
defense-evasion;T1036.004
FIN13;command-and-control
command-and-control;T1090.001
FIN7;defense-evasion
defense-evasion;T1218.011
APT39;defense-evasion
defense-evasion;T1027.013
FIN5;execution
execution;T1059
Scattered Spider;credential-access
credential-access;T1552.004
FIN8;resource-development
resource-development;T1588.002
FIN7;execution
execution;T1047
FIN13;impact
impact;T1565
FIN8;execution
execution;T1204.002
FIN13;execution
execution;T1059.001
FIN8;resource-development
resource-development;T1588.003
FIN13;execution
execution;T1053.005
FIN13;persistence
persistence;T1053.005
FIN13;privilege-escalation
privilege-escalation;T1053.005
APT39;resource-development
resource-development;T1588.002
FIN5;discovery
discovery;T1018
FIN7;execution
execution;T1059.005
FIN6;command-and-control
command-and-control;T1102
FIN13;persistence
persistence;T1136.001
FIN7;command-and-control
command-and-control;T1219
FIN13;credential-access
credential-access;T1003.002
APT39;lateral-movement
lateral-movement;T1021.001
APT39;discovery
discovery;T1033
