threat-crank.py 0.2.1
I: searching for industries that match .* energy.*|.* gas.*|.* petrol.*|.* oil.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.0/enterprise-attack/enterprise-attack.json
Threat Group-3390;persistence
persistence;T1547.001
Threat Group-3390;privilege-escalation
privilege-escalation;T1547.001
HEXANE;discovery
discovery;T1010
MuddyWater;command-and-control
command-and-control;T1105
HEXANE;discovery
discovery;T1518
Ke3chang;execution
execution;T1059
APT19;discovery
discovery;T1033
Ke3chang;discovery
discovery;T1018
OilRig;execution
execution;T1059.003
Ke3chang;persistence
persistence;T1543.003
Ke3chang;privilege-escalation
privilege-escalation;T1543.003
APT19;persistence
persistence;T1574.002
APT19;privilege-escalation
privilege-escalation;T1574.002
APT19;defense-evasion
defense-evasion;T1574.002
OilRig;defense-evasion
defense-evasion;T1027.005
APT33;execution
execution;T1059.005
MuddyWater;initial-access
initial-access;T1566.002
Fox Kitten;credential-access
credential-access;T1552.001
Fox Kitten;credential-access
credential-access;T1003.001
Threat Group-3390;persistence
persistence;T1133
Threat Group-3390;initial-access
initial-access;T1133
Ke3chang;resource-development
resource-development;T1588.002
Tonto Team;command-and-control
command-and-control;T1090.002
MuddyWater;credential-access
credential-access;T1003.004
APT33;collection
collection;T1560.001
OilRig;initial-access
initial-access;T1566.002
HEXANE;credential-access
credential-access;T1110
MuddyWater;defense-evasion
defense-evasion;T1036.005
LAPSUS$;credential-access
credential-access;T1621
HEXANE;credential-access
credential-access;T1555
OilRig;discovery
discovery;T1069.002
Ke3chang;discovery
discovery;T1087.001
Fox Kitten;discovery
discovery;T1083
Threat Group-3390;discovery
discovery;T1016
MuddyWater;defense-evasion
defense-evasion;T1140
APT19;defense-evasion
defense-evasion;T1027.010
MuddyWater;credential-access
credential-access;T1003.001
Ke3chang;discovery
discovery;T1007
Threat Group-3390;resource-development
resource-development;T1588.002
Tonto Team;initial-access
initial-access;T1566.001
MuddyWater;collection
collection;T1074.001
OilRig;discovery
discovery;T1016
