threat-crank.py 0.2.1
I: searching for industries that match .* telco.*|.* telecom.*|.* carrier.*|.* phone.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v6.3/enterprise-attack/enterprise-attack.json
OilRig;discovery
discovery;T1057
discovery;CAPEC-573
APT19;discovery
discovery;T1016
discovery;CAPEC-309
APT19;execution
execution;T1204
Deep Panda;defense-evasion
defense-evasion;T1117
Deep Panda;execution
execution;T1117
OilRig;defense-evasion
defense-evasion;T1140
OilRig;command-and-control
command-and-control;T1094
MuddyWater;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
Deep Panda;execution
execution;T1047
OilRig;collection
collection;T1119
OilRig;defense-evasion
defense-evasion;T1107
OilRig;defense-evasion
defense-evasion;T1108
OilRig;persistence
persistence;T1108
MuddyWater;persistence
persistence;T1060
persistence;CAPEC-270
APT19;command-and-control
command-and-control;T1071
MuddyWater;initial-access
initial-access;T1193
initial-access;CAPEC-163
OilRig;collection
collection;T1113
collection;CAPEC-648
APT19;command-and-control
command-and-control;T1043
MuddyWater;defense-evasion
defense-evasion;T1064
MuddyWater;execution
execution;T1064
OilRig;lateral-movement
lateral-movement;T1021
lateral-movement;CAPEC-555
OilRig;discovery
discovery;T1069
discovery;CAPEC-576
Deep Panda;defense-evasion
defense-evasion;T1066
Deep Panda;lateral-movement
lateral-movement;T1077
lateral-movement;CAPEC-561
Deep Panda;discovery
discovery;T1018
discovery;CAPEC-292
APT19;command-and-control
command-and-control;T1132
Thrip;command-and-control
command-and-control;T1219
OilRig;discovery
discovery;T1046
discovery;CAPEC-300
OilRig;defense-evasion
defense-evasion;T1064
OilRig;execution
execution;T1064
OilRig;persistence
persistence;T1133
persistence;CAPEC-555
OilRig;initial-access
initial-access;T1133
initial-access;CAPEC-555
MuddyWater;credential-access
credential-access;T1003
OilRig;lateral-movement
lateral-movement;T1076
lateral-movement;CAPEC-555
OilRig;execution
execution;T1047
Deep Panda;defense-evasion
defense-evasion;T1064
Deep Panda;execution
execution;T1064
OilRig;execution
execution;T1053
execution;CAPEC-557
OilRig;persistence
persistence;T1053
persistence;CAPEC-557
OilRig;privilege-escalation
privilege-escalation;T1053
privilege-escalation;CAPEC-557
MuddyWater;discovery
discovery;T1033
discovery;CAPEC-577
OilRig;discovery
discovery;T1049
APT19;defense-evasion
defense-evasion;T1117
APT19;execution
execution;T1117
MuddyWater;execution
execution;T1047
