threat-crank.py 0.2.1
I: searching for regions that match .* china.*|.* chinese.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v9.0/enterprise-attack/enterprise-attack.json
APT37;execution
execution;T1203
menuPass;execution
execution;T1047
Ke3chang;collection
collection;T1005
APT3;collection
collection;T1074.001
BRONZE BUTLER;collection
collection;T1560.001
APT19;discovery
discovery;T1016
discovery;CAPEC-309
Ke3chang;discovery
discovery;T1007
discovery;CAPEC-574
APT3;discovery
discovery;T1087.001
APT3;collection
collection;T1056.001
collection;CAPEC-568
APT3;credential-access
credential-access;T1056.001
credential-access;CAPEC-568
APT19;execution
execution;T1204.002
PittyTiger;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
PittyTiger;persistence
persistence;T1078
persistence;CAPEC-560
PittyTiger;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
PittyTiger;initial-access
initial-access;T1078
initial-access;CAPEC-560
Deep Panda;defense-evasion
defense-evasion;T1218.010
APT37;discovery
discovery;T1057
discovery;CAPEC-573
BRONZE BUTLER;execution
execution;T1204.002
APT3;discovery
discovery;T1016
discovery;CAPEC-309
Elderwood;defense-evasion
defense-evasion;T1027.002
defense-evasion;CAPEC-570
Threat Group-3390;discovery
discovery;T1018
discovery;CAPEC-292
Ke3chang;collection
collection;T1560.001
APT1;credential-access
credential-access;T1003.001
Leviathan;execution
execution;T1059.003
APT37;collection
collection;T1005
menuPass;credential-access
credential-access;T1003.002
Axiom;command-and-control
command-and-control;T1001
APT3;privilege-escalation
privilege-escalation;T1546.008
privilege-escalation;CAPEC-558
APT3;persistence
persistence;T1546.008
persistence;CAPEC-558
Deep Panda;execution
execution;T1047
APT37;execution
execution;T1204.002
Threat Group-3390;discovery
discovery;T1087.001
APT3;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
APT37;execution
execution;T1059.003
APT3;collection
collection;T1005
BRONZE BUTLER;privilege-escalation
privilege-escalation;T1548.002
BRONZE BUTLER;defense-evasion
defense-evasion;T1548.002
APT1;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
APT19;command-and-control
command-and-control;T1071.001
APT1;collection
collection;T1005
admin@338;discovery
discovery;T1087.001
APT1;collection
collection;T1560.001
admin@338;discovery
discovery;T1069.001
APT19;command-and-control
command-and-control;T1043
APT37;credential-access
credential-access;T1555.003
APT3;execution
execution;T1053.005
APT3;persistence
persistence;T1053.005
APT3;privilege-escalation
privilege-escalation;T1053.005
APT3;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
Ke3chang;discovery
discovery;T1082
discovery;CAPEC-312
APT37;discovery
discovery;T1082
discovery;CAPEC-312
APT37;discovery
discovery;T1033
discovery;CAPEC-577
APT1;execution
execution;T1059.003
BRONZE BUTLER;execution
execution;T1053.002
BRONZE BUTLER;persistence
persistence;T1053.002
BRONZE BUTLER;privilege-escalation
privilege-escalation;T1053.002
Deep Panda;defense-evasion
defense-evasion;T1027.005
APT3;command-and-control
command-and-control;T1105
menuPass;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
menuPass;persistence
persistence;T1078
persistence;CAPEC-560
menuPass;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
menuPass;initial-access
initial-access;T1078
initial-access;CAPEC-560
Deep Panda;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
BRONZE BUTLER;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
Ke3chang;discovery
discovery;T1069.002
APT37;command-and-control
command-and-control;T1105
menuPass;discovery
discovery;T1016
discovery;CAPEC-309
BRONZE BUTLER;command-and-control
command-and-control;T1102.001
APT37;collection
collection;T1123
collection;CAPEC-634
Leviathan;defense-evasion
defense-evasion;T1197
Leviathan;persistence
persistence;T1197
Suckfly;discovery
discovery;T1046
discovery;CAPEC-300
Threat Group-3390;command-and-control
command-and-control;T1105
Deep Panda;discovery
discovery;T1018
discovery;CAPEC-292
APT19;command-and-control
command-and-control;T1132.001
Threat Group-3390;collection
collection;T1560.002
Winnti Group;defense-evasion
