threat-crank.py 0.2.1
I: searching for industries that match .* transport.*|.* rail.*|.* train.*|.* car.*|.* vehicle.*|.* road.*|.* automotiv.*|.* boat.*|.* tanker.*|.* plane.*|.* airport.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v14.0/enterprise-attack/enterprise-attack.json
FIN7;execution
execution;T1204.001
Silence;command-and-control
command-and-control;T1571
Ke3chang;collection
collection;T1114.002
OilRig;credential-access
credential-access;T1555.004
Cobalt Group;initial-access
initial-access;T1566.001
Leviathan;exfiltration
exfiltration;T1567.002
TA2541;resource-development
resource-development;T1608.001
Tropic Trooper;persistence
persistence;T1543.003
Tropic Trooper;privilege-escalation
privilege-escalation;T1543.003
Cobalt Group;command-and-control
command-and-control;T1105
TA2541;persistence
persistence;T1547.001
TA2541;privilege-escalation
privilege-escalation;T1547.001
FIN7;defense-evasion
defense-evasion;T1553.002
Higaisa;execution
execution;T1059.005
FIN7;defense-evasion
defense-evasion;T1078
FIN7;persistence
persistence;T1078
FIN7;privilege-escalation
privilege-escalation;T1078
FIN7;initial-access
initial-access;T1078
Tropic Trooper;defense-evasion
defense-evasion;T1070.004
TA2541;command-and-control
command-and-control;T1573.002
Tropic Trooper;initial-access
initial-access;T1566.001
OilRig;discovery
discovery;T1082
Dark Caracal;defense-evasion
defense-evasion;T1027
FIN6;collection
collection;T1560.003
FIN6;initial-access
initial-access;T1566.001
Tropic Trooper;command-and-control
command-and-control;T1105
OilRig;credential-access
credential-access;T1003.001
TA2541;defense-evasion
defense-evasion;T1562.001
Cobalt Group;defense-evasion
defense-evasion;T1027.010
FIN5;command-and-control
command-and-control;T1090.002
OilRig;command-and-control
command-and-control;T1008
FIN7;execution
execution;T1059
Higaisa;execution
execution;T1106
Ke3chang;command-and-control
command-and-control;T1105
Ke3chang;discovery
discovery;T1087.001
FIN7;lateral-movement
lateral-movement;T1021.004
OilRig;command-and-control
command-and-control;T1071.001
APT33;credential-access
credential-access;T1552.001
FIN6;discovery
discovery;T1087.002
APT33;credential-access
credential-access;T1003.005
Tropic Trooper;discovery
discovery;T1057
Ke3chang;discovery
discovery;T1033
FIN7;defense-evasion
defense-evasion;T1027.001
Ke3chang;discovery
discovery;T1614.001
FIN5;defense-evasion
defense-evasion;T1070.004
Carbanak;defense-evasion
defense-evasion;T1562.004
Cobalt Group;execution
execution;T1053.005
Cobalt Group;persistence
persistence;T1053.005
Cobalt Group;privilege-escalation
privilege-escalation;T1053.005
Dark Caracal;execution
execution;T1059.003
Leviathan;command-and-control
command-and-control;T1102.003
Cobalt Group;defense-evasion
defense-evasion;T1218.008
Silence;execution
execution;T1053.005
Silence;persistence
persistence;T1053.005
Silence;privilege-escalation
privilege-escalation;T1053.005
APT33;collection
collection;T1560.001
FIN7;discovery
discovery;T1033
FIN6;execution
execution;T1059
FIN7;execution
execution;T1053.005
FIN7;persistence
persistence;T1053.005
FIN7;privilege-escalation
privilege-escalation;T1053.005
TA2541;command-and-control
command-and-control;T1105
FIN6;command-and-control
command-and-control;T1572
TA2541;command-and-control
command-and-control;T1568
Ke3chang;discovery
discovery;T1087.002
FIN6;collection
collection;T1213
Dark Caracal;command-and-control
command-and-control;T1071.001
Leviathan;execution
execution;T1047
Cobalt Group;initial-access
initial-access;T1195.002
TA2541;defense-evasion
defense-evasion;T1036.005
TA2541;discovery
discovery;T1518.001
Leviathan;lateral-movement
lateral-movement;T1021.004
TA2541;execution
execution;T1053.005
TA2541;persistence
persistence;T1053.005
TA2541;privilege-escalation
privilege-escalation;T1053.005
OilRig;execution
execution;T1059.003
Leviathan;command-and-control
command-and-control;T1105
OilRig;lateral-movement
lateral-movement;T1021.001
Tropic Trooper;execution
execution;T1204.002
Leviathan;persistence
persistence;T1547.001
Leviathan;privilege-escalation
privilege-escalation;T1547.001
Dark Caracal;execution
execution;T1204.002
Carbanak;defense-evasion
defense-evasion;T1036.004
Silence;defense-evasion
defense-evasion;T1055
Silence;privilege-escalation
privilege-escalation;T1055
TA2541;defense-evasion
defense-evasion;T1027.002
FIN5;collection
collection;T1074.001
DarkHydrus;execution
execution;T1204.002
Leviathan;defense-evasion
defense-evasion;T1027
FIN6;defense-evasion
defense-evasion;T1027.010
Silence;persistence
persistence;T1547.001
Silence;privilege-escalation
privilege-escalation;T1547.001
DarkHydrus;credential-access
credential-access;T1187
OilRig;persistence
persistence;T1505.003
Leviathan;reconnaissance
reconnaissance;T1589.001
FIN7;lateral-movement
lateral-movement;T1021.005
TA2541;discovery
discovery;T1082
OilRig;defense-evasion
defense-evasion;T1036
FIN7;defense-evasion
defense-evasion;T1036.005
