threat-crank.py 0.2.1
I: searching for regions that match .* german.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v16.0/enterprise-attack/enterprise-attack.json
Earth Lusca;resource-development
resource-development;T1583.006
Earth Lusca;defense-evasion
defense-evasion;T1027.003
TA551;defense-evasion
defense-evasion;T1218.010
Earth Lusca;resource-development
resource-development;T1608.001
Earth Lusca;persistence
persistence;T1098.004
Earth Lusca;privilege-escalation
privilege-escalation;T1098.004
Earth Lusca;credential-access
credential-access;T1003.006
Earth Lusca;execution
execution;T1059.005
CopyKittens;collection
collection;T1560.003
TA551;reconnaissance
reconnaissance;T1589.002
Earth Lusca;initial-access
initial-access;T1189
Earth Lusca;discovery
discovery;T1018
Earth Lusca;resource-development
resource-development;T1584.006
CopyKittens;collection
collection;T1560.001
CopyKittens;execution
execution;T1059.001
CopyKittens;command-and-control
command-and-control;T1090
TA551;execution
execution;T1204.002
Earth Lusca;execution
execution;T1059.007
Earth Lusca;lateral-movement
lateral-movement;T1210
Earth Lusca;defense-evasion
defense-evasion;T1036.005
Earth Lusca;defense-evasion
defense-evasion;T1140
TA551;defense-evasion
defense-evasion;T1218.011
TA551;defense-evasion
defense-evasion;T1027.003
Earth Lusca;resource-development
resource-development;T1583.001
TA551;initial-access
initial-access;T1566.001
Earth Lusca;discovery
discovery;T1033
TA551;command-and-control
command-and-control;T1132.001
Earth Lusca;persistence
persistence;T1547.012
Earth Lusca;privilege-escalation
privilege-escalation;T1547.012
Earth Lusca;execution
execution;T1059.001
Earth Lusca;execution
execution;T1059.006
Earth Lusca;discovery
discovery;T1057
Earth Lusca;execution
execution;T1053
Earth Lusca;persistence
persistence;T1053
Earth Lusca;privilege-escalation
privilege-escalation;T1053
Earth Lusca;persistence
persistence;T1574.002
Earth Lusca;privilege-escalation
privilege-escalation;T1574.002
Earth Lusca;defense-evasion
defense-evasion;T1574.002
Earth Lusca;defense-evasion
defense-evasion;T1112
Earth Lusca;execution
execution;T1047
CopyKittens;defense-evasion
defense-evasion;T1218.011
TA551;command-and-control
command-and-control;T1568.002
CopyKittens;defense-evasion
defense-evasion;T1564.003
TA551;defense-evasion
defense-evasion;T1027.010
Earth Lusca;credential-access
credential-access;T1003.001
Earth Lusca;defense-evasion
defense-evasion;T1218.005
Earth Lusca;discovery
discovery;T1482
Earth Lusca;exfiltration
exfiltration;T1567.002
Earth Lusca;privilege-escalation
privilege-escalation;T1548.002
Earth Lusca;defense-evasion
defense-evasion;T1548.002
Earth Lusca;resource-development
resource-development;T1588.002
Earth Lusca;discovery
discovery;T1007
Earth Lusca;execution
execution;T1204.002
Earth Lusca;initial-access
initial-access;T1190
Earth Lusca;command-and-control
command-and-control;T1090
TA551;command-and-control
command-and-control;T1071.001
TA551;command-and-control
command-and-control;T1105
Earth Lusca;defense-evasion
defense-evasion;T1027
Earth Lusca;persistence
persistence;T1543.003
Earth Lusca;privilege-escalation
privilege-escalation;T1543.003
Earth Lusca;initial-access
initial-access;T1566.002
Earth Lusca;collection
collection;T1560.001
CopyKittens;resource-development
resource-development;T1588.002
Earth Lusca;resource-development
resource-development;T1583.004
Earth Lusca;discovery
discovery;T1049
TA551;defense-evasion
defense-evasion;T1218.005
Earth Lusca;reconnaissance
reconnaissance;T1595.002
Earth Lusca;discovery
discovery;T1016
TA551;execution
execution;T1059.003
Earth Lusca;resource-development
resource-development;T1588.001
TA551;defense-evasion
defense-evasion;T1036
CopyKittens;defense-evasion
defense-evasion;T1553.002
Earth Lusca;resource-development
resource-development;T1584.004
Earth Lusca;execution
execution;T1204.001
