threat-crank.py 0.2.1
I: searching for regions that match .* russia.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v11.3/enterprise-attack/enterprise-attack.json
UNC2452;defense-evasion
defense-evasion;T1484.002
UNC2452;privilege-escalation
privilege-escalation;T1484.002
Wizard Spider;execution
execution;T1053.005
Wizard Spider;persistence
persistence;T1053.005
Wizard Spider;privilege-escalation
privilege-escalation;T1053.005
Silence;collection
collection;T1113
collection;CAPEC-648
Higaisa;persistence
persistence;T1547.001
persistence;CAPEC-270
Higaisa;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
APT29;privilege-escalation
privilege-escalation;T1546.003
APT29;persistence
persistence;T1546.003
Turla;privilege-escalation
privilege-escalation;T1068
Wizard Spider;discovery
discovery;T1033
discovery;CAPEC-577
Sandworm Team;command-and-control
command-and-control;T1090
APT29;privilege-escalation
privilege-escalation;T1548.002
APT29;defense-evasion
defense-evasion;T1548.002
Kimsuky;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
Turla;collection
collection;T1005
TEMP.Veles;collection
collection;T1074.001
Sandworm Team;discovery
discovery;T1033
discovery;CAPEC-577
Wizard Spider;defense-evasion
defense-evasion;T1070.004
Kimsuky;resource-development
resource-development;T1587
Wizard Spider;execution
execution;T1059.003
Sandworm Team;impact
impact;T1561.002
Wizard Spider;discovery
discovery;T1518.001
discovery;CAPEC-581
Turla;resource-development
resource-development;T1588.002
UNC2452;command-and-control
command-and-control;T1071.001
APT29;command-and-control
command-and-control;T1090.004
command-and-control;CAPEC-481
Turla;defense-evasion
defense-evasion;T1553.006
APT29;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
Wizard Spider;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Sandworm Team;collection
collection;T1005
Kimsuky;defense-evasion
defense-evasion;T1027.002
defense-evasion;CAPEC-570
Kimsuky;collection
collection;T1114.003
Dragonfly;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
Dragonfly;persistence
persistence;T1078
persistence;CAPEC-560
Dragonfly;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
Dragonfly;initial-access
initial-access;T1078
initial-access;CAPEC-560
Inception;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
APT28;collection
collection;T1560
Turla;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
Inception;command-and-control
command-and-control;T1573.001
Inception;command-and-control
command-and-control;T1102
Inception;command-and-control
command-and-control;T1071.001
APT28;resource-development
resource-development;T1583.006
Turla;discovery
discovery;T1120
discovery;CAPEC-646
Kimsuky;credential-access
credential-access;T1111
UNC2452;execution
execution;T1053.005
UNC2452;persistence
persistence;T1053.005
UNC2452;privilege-escalation
privilege-escalation;T1053.005
Dragonfly;discovery
discovery;T1069.002
Gamaredon Group;defense-evasion
defense-evasion;T1218.005
Turla;command-and-control
command-and-control;T1102
Dragonfly;defense-evasion
defense-evasion;T1070.004
APT29;defense-evasion
defense-evasion;T1027.002
defense-evasion;CAPEC-570
Gamaredon Group;execution
execution;T1059.005
Dragonfly;lateral-movement
lateral-movement;T1210
RTM;persistence
persistence;T1574.001
persistence;CAPEC-471
RTM;privilege-escalation
privilege-escalation;T1574.001
privilege-escalation;CAPEC-471
RTM;defense-evasion
defense-evasion;T1574.001
defense-evasion;CAPEC-471
Kimsuky;exfiltration
exfiltration;T1041
Machete;defense-evasion
defense-evasion;T1218.007
Sandworm Team;discovery
discovery;T1087.003
UNC2452;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
Higaisa;execution
execution;T1053.005
Higaisa;persistence
persistence;T1053.005
Higaisa;privilege-escalation
privilege-escalation;T1053.005
Turla;credential-access
credential-access;T1555.004
APT37;credential-access
credential-access;T1555.003
Machete;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
APT29;command-and-control
command-and-control;T1043
Indrik Spider;impact
impact;T1486
Machete;execution
execution;T1204.002
Sandworm Team;discovery
discovery;T1018
discovery;CAPEC-292
Sandworm Team;resource-development
resource-development;T1588.006
Dragonfly;reconnaissance
reconnaissance;T1591.002
Gorgon Group;command-and-control
command-and-control;T1105
Wizard Spider;credential-access
credential-access;T1557.001
Wizard Spider;collection
collection;T1557.001
APT28;defense-evasion
defense-evasion;T1211
APT28;impact
impact;T1498
Silence;defense-evasion
defense-evasion;T1553.002
APT28;persistence
persistence;T1037.001
APT28;privilege-escalation
privilege-escalation;T1037.001
Sandworm Team;defense-evasion
defense-evasion;T1070.004
Gamaredon Group;execution
execution;T1559.001
Dragonfly;command-and-control
command-and-control;T1105
APT29;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
APT28;command-and-control
command-and-control;T1102.002
Sandworm Team;collection
collection;T1056.001
collection;CAPEC-568
Sandworm Team;credential-access
credential-access;T1056.001
credential-access;CAPEC-568
Turla;resource-development
resource-development;T1587.001
UNC2452;resource-development
resource-development;T1584.001
Kimsuky;defense-evasion
defense-evasion;T1564.003
APT28;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
APT37;execution
execution;T1059
RTM;initial-access
initial-access;T1189
Kimsuky;reconnaissance
reconnaissance;T1594
Higaisa;discovery
discovery;T1057
discovery;CAPEC-573
Dragonfly;resource-development
resource-development;T1584.004
Kimsuky;discovery
discovery;T1016
discovery;CAPEC-309
Silence;defense-evasion
defense-evasion;T1218.001
APT29;execution
execution;T1047
Wizard Spider;persistence
persistence;T1547.001
persistence;CAPEC-270
Wizard Spider;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
UNC2452;initial-access
initial-access;T1195.002
APT28;command-and-control
command-and-control;T1573.001
Gamaredon Group;collection
collection;T1025
APT29;defense-evasion
defense-evasion;T1553.005
APT28;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Turla;defense-evasion
defense-evasion;T1055.001
Turla;privilege-escalation
privilege-escalation;T1055.001
UNC2452;credential-access
credential-access;T1606.001
Dragonfly;credential-access
credential-access;T1110
credential-access;CAPEC-49
Gorgon Group;defense-evasion
defense-evasion;T1564.003
Kimsuky;execution
execution;T1059.001
Kimsuky;defense-evasion
defense-evasion;T1562.001
defense-evasion;CAPEC-578
Turla;collection
collection;T1025
Dragonfly;collection
collection;T1074.001
Dragonfly;reconnaissance
reconnaissance;T1598.003
Dragonfly;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Turla;privilege-escalation
privilege-escalation;T1546.013
Turla;persistence
persistence;T1546.013
APT28;persistence
persistence;T1547.001
persistence;CAPEC-270
APT28;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
FIN5;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
FIN5;persistence
persistence;T1078
persistence;CAPEC-560
FIN5;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
FIN5;initial-access
initial-access;T1078
initial-access;CAPEC-560
APT29;defense-evasion
defense-evasion;T1070.004
Gorgon Group;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Turla;command-and-control
command-and-control;T1090.001
Sandworm Team;impact
impact;T1491.002
APT28;defense-evasion
defense-evasion;T1564.003
Sandworm Team;persistence
persistence;T1133
persistence;CAPEC-555
Sandworm Team;initial-access
initial-access;T1133
initial-access;CAPEC-555
UNC2452;discovery
discovery;T1016.001
Sandworm Team;resource-development
resource-development;T1584.005
Sandworm Team;credential-access
credential-access;T1040
credential-access;CAPEC-158
Sandworm Team;discovery
discovery;T1040
discovery;CAPEC-158
Higaisa;execution
execution;T1203
Wizard Spider;discovery
discovery;T1018
discovery;CAPEC-292
Sandworm Team;impact
impact;T1499
impact;CAPEC-227
impact;CAPEC-131
impact;CAPEC-130
impact;CAPEC-125
Indrik Spider;persistence
persistence;T1136
APT29;resource-development
resource-development;T1587.003
Inception;resource-development
resource-development;T1588.002
Wizard Spider;defense-evasion
defense-evasion;T1078.002
defense-evasion;CAPEC-560
Wizard Spider;persistence
persistence;T1078.002
persistence;CAPEC-560
Wizard Spider;privilege-escalation
privilege-escalation;T1078.002
privilege-escalation;CAPEC-560
Wizard Spider;initial-access
initial-access;T1078.002
initial-access;CAPEC-560
Wizard Spider;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
Turla;resource-development
resource-development;T1584.006
Higaisa;defense-evasion
defense-evasion;T1140
Wizard Spider;execution
execution;T1569.002
APT37;command-and-control
command-and-control;T1102.002
APT28;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
TEMP.Veles;defense-evasion
defense-evasion;T1070.004
Silence;execution
execution;T1059.003
UNC2452;command-and-control
command-and-control;T1105
Wizard Spider;collection
collection;T1074
Gorgon Group;defense-evasion
defense-evasion;T1055.002
Gorgon Group;privilege-escalation
privilege-escalation;T1055.002
Indrik Spider;defense-evasion
defense-evasion;T1562.001
defense-evasion;CAPEC-578
APT28;credential-access
credential-access;T1040
credential-access;CAPEC-158
APT28;discovery
discovery;T1040
discovery;CAPEC-158
Kimsuky;reconnaissance
reconnaissance;T1591
Turla;discovery
discovery;T1082
discovery;CAPEC-312
APT29;defense-evasion
defense-evasion;T1070.006
Gorgon Group;defense-evasion
defense-evasion;T1140
Dragonfly;discovery
discovery;T1033
discovery;CAPEC-577
FIN5;persistence
persistence;T1133
persistence;CAPEC-555
FIN5;initial-access
initial-access;T1133
initial-access;CAPEC-555
Inception;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Wizard Spider;exfiltration
exfiltration;T1048.003
APT29;collection
collection;T1005
Inception;discovery
discovery;T1518
discovery;CAPEC-580
Indrik Spider;collection
collection;T1074.001
APT37;execution
execution;T1106
Sandworm Team;exfiltration
exfiltration;T1041
UNC2452;collection
collection;T1114.002
UNC2452;defense-evasion
defense-evasion;T1070.004
Silence;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Kimsuky;persistence
persistence;T1098
Dragonfly;command-and-control
command-and-control;T1071
Machete;execution
execution;T1059.006
APT29;reconnaissance
reconnaissance;T1589.001
APT29;persistence
persistence;T1136.003
Turla;discovery
discovery;T1057
discovery;CAPEC-573
APT28;reconnaissance
reconnaissance;T1589.001
TEMP.Veles;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
Silence;command-and-control
command-and-control;T1090.002
Dragonfly;persistence
persistence;T1136.001
Kimsuky;resource-development
resource-development;T1585.002
Kimsuky;resource-development
resource-development;T1587.001
Sandworm Team;initial-access
initial-access;T1195.002
Sandworm Team;defense-evasion
defense-evasion;T1218.011
Gamaredon Group;exfiltration
exfiltration;T1020
Kimsuky;defense-evasion
defense-evasion;T1070.004
Machete;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
APT28;execution
execution;T1204.002
Dragonfly;persistence
persistence;T1547.001
persistence;CAPEC-270
Dragonfly;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
Wizard Spider;persistence
persistence;T1547.004
persistence;CAPEC-579
Wizard Spider;privilege-escalation
privilege-escalation;T1547.004
privilege-escalation;CAPEC-579
APT29;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
Gamaredon Group;discovery
discovery;T1082
discovery;CAPEC-312
FIN5;resource-development
resource-development;T1588.002
Inception;collection
collection;T1005
APT28;defense-evasion
defense-evasion;T1070.004
Inception;execution
execution;T1204.002
APT28;defense-evasion
defense-evasion;T1078.004
APT28;persistence
persistence;T1078.004
APT28;privilege-escalation
privilege-escalation;T1078.004
APT28;initial-access
initial-access;T1078.004
UNC2452;discovery
discovery;T1069
discovery;CAPEC-576
UNC2452;discovery
discovery;T1082
discovery;CAPEC-312
Gorgon Group;resource-development
resource-development;T1588.002
Sandworm Team;reconnaissance
reconnaissance;T1589.002
Turla;discovery
discovery;T1007
discovery;CAPEC-574
Dragonfly;discovery
discovery;T1135
discovery;CAPEC-643
UNC2452;collection
collection;T1074.002
Sandworm Team;execution
execution;T1047
APT37;execution
execution;T1203
Dragonfly;credential-access
credential-access;T1187
Kimsuky;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-640
Kimsuky;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-640
Wizard Spider;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
TEMP.Veles;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
TEMP.Veles;persistence
persistence;T1078
persistence;CAPEC-560
TEMP.Veles;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
TEMP.Veles;initial-access
initial-access;T1078
initial-access;CAPEC-560
APT28;credential-access
credential-access;T1528
Gamaredon Group;defense-evasion
defense-evasion;T1070.004
Sandworm Team;impact
impact;T1485
Sandworm Team;credential-access
credential-access;T1110.003
credential-access;CAPEC-565
Silence;execution
execution;T1106
APT28;defense-evasion
defense-evasion;T1550.002
defense-evasion;CAPEC-644
APT28;lateral-movement
lateral-movement;T1550.002
lateral-movement;CAPEC-644
Kimsuky;defense-evasion
defense-evasion;T1218.005
APT28;exfiltration
exfiltration;T1567
Higaisa;command-and-control
command-and-control;T1573.001
APT29;resource-development
resource-development;T1588.002
APT37;execution
execution;T1059.005
Sandworm Team;command-and-control
command-and-control;T1571
Wizard Spider;discovery
discovery;T1087.002
discovery;CAPEC-575
Sandworm Team;resource-development
resource-development;T1588.002
TA459;execution
execution;T1204.002
Silence;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-640
Silence;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-640
Wizard Spider;discovery
discovery;T1135
discovery;CAPEC-643
Strider;credential-access
credential-access;T1556.002
Strider;defense-evasion
defense-evasion;T1556.002
Strider;persistence
persistence;T1556.002
UNC2452;initial-access
initial-access;T1190
UNC2452;credential-access
credential-access;T1552.004
Gamaredon Group;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
APT37;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Kimsuky;defense-evasion
defense-evasion;T1036.004
Turla;discovery
discovery;T1016.001
Gorgon Group;persistence
persistence;T1547.009
persistence;CAPEC-132
Gorgon Group;privilege-escalation
privilege-escalation;T1547.009
privilege-escalation;CAPEC-132
Indrik Spider;impact
impact;T1489
Gamaredon Group;defense-evasion
defense-evasion;T1027.001
defense-evasion;CAPEC-572
defense-evasion;CAPEC-655
UNC2452;discovery
discovery;T1482
Turla;exfiltration
exfiltration;T1567.002
Turla;defense-evasion
defense-evasion;T1562.001
defense-evasion;CAPEC-578
APT29;credential-access
credential-access;T1555.003
APT29;discovery
discovery;T1087.004
Dragonfly;discovery
discovery;T1018
discovery;CAPEC-292
Indrik Spider;defense-evasion
defense-evasion;T1078.002
defense-evasion;CAPEC-560
Indrik Spider;persistence
persistence;T1078.002
persistence;CAPEC-560
Indrik Spider;privilege-escalation
privilege-escalation;T1078.002
privilege-escalation;CAPEC-560
Indrik Spider;initial-access
initial-access;T1078.002
initial-access;CAPEC-560
Wizard Spider;command-and-control
command-and-control;T1071.001
Silence;execution
execution;T1059.001
APT29;command-and-control
command-and-control;T1071.001
Turla;defense-evasion
defense-evasion;T1027.005
Silence;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
TEMP.Veles;command-and-control
command-and-control;T1065
APT28;discovery
discovery;T1057
discovery;CAPEC-573
APT29;credential-access
credential-access;T1606.002
Silence;collection
collection;T1125
collection;CAPEC-634
TEMP.Veles;defense-evasion
defense-evasion;T1070.006
APT29;defense-evasion
defense-evasion;T1078.004
APT29;persistence
persistence;T1078.004
APT29;privilege-escalation
privilege-escalation;T1078.004
APT29;initial-access
initial-access;T1078.004
APT28;exfiltration
exfiltration;T1048.002
UNC2452;credential-access
credential-access;T1003.006
APT29;command-and-control
command-and-control;T1095
APT28;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
Wizard Spider;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
APT28;credential-access
credential-access;T1110
credential-access;CAPEC-49
Gamaredon Group;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
Dragonfly;discovery
discovery;T1016
discovery;CAPEC-309
UNC2452;defense-evasion
defense-evasion;T1140
Indrik Spider;command-and-control
command-and-control;T1105
APT28;persistence
persistence;T1133
persistence;CAPEC-555
APT28;initial-access
initial-access;T1133
initial-access;CAPEC-555
Turla;discovery
discovery;T1201
APT28;command-and-control
command-and-control;T1090.003
APT37;command-and-control
command-and-control;T1043
Gamaredon Group;defense-evasion
defense-evasion;T1140
APT28;collection
collection;T1213
Turla;execution
execution;T1059.005
APT29;command-and-control
command-and-control;T1090.003
Gorgon Group;defense-evasion
defense-evasion;T1055.012
Gorgon Group;privilege-escalation
privilege-escalation;T1055.012
Silence;execution
execution;T1059.007
Turla;command-and-control
command-and-control;T1102.002
Wizard Spider;credential-access
credential-access;T1003.003
APT28;resource-development
resource-development;T1586.002
Turla;command-and-control
command-and-control;T1105
Gamaredon Group;lateral-movement
lateral-movement;T1021.005
lateral-movement;CAPEC-555
Sandworm Team;command-and-control
command-and-control;T1071.001
TEMP.Veles;defense-evasion
defense-evasion;T1027.005
Machete;command-and-control
command-and-control;T1032
APT28;collection
collection;T1056.001
collection;CAPEC-568
APT28;credential-access
credential-access;T1056.001
credential-access;CAPEC-568
APT37;collection
collection;T1005
